,ID,,,,STUDY TITLE,,,,COMPKEY,,"UNITID/
UNITID2",,,"DIR
FLOW",LANE,START DATE,AMPK,,PMPK,AWDT,,ADT,,,"WEEK
DAYS",DAYS
,312012,,,,"12TH AVE NE, S/O NE 45TH ST",,,,1567,,00330/0430,,,TOTAL,STANDARD,23-Sep-2013,146,,177,"1,963",,"1,782",,,5,7
,212041,,,,"12TH AVE NE, S/O NE 50TH ST",,,,1569,,00330/0470,,,N,STANDARD,21-May-2007,30,,60,597,,606,,,5,7
,216893,,,,"12TH AVE NE, S/O NE 50TH ST",,,,1569,,00330/0470,,,N,STANDARD,16-Jun-2009,51,,84,840,,821,,,5,7
,312013,,,,"12TH AVE NE, S/O NE 50TH ST",,,,1569,,00330/0470,,,TOTAL,STANDARD,23-Sep-2013,98,,108,"1,301",,"1,284",,,5,7
,303521,,,,"12TH AVE NE, S/O NE 63RD ST",,,,1577,,00330/0620,,,N,STANDARD,08-Jun-2011,349,,840,"6,095",,"5,736",,,5,7
,207951,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,04-Oct-2005,457,,"1,065","8,450",,"7,994",,,5,7
,210459,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,03-Oct-2006,471,,"1,077","8,727",,"8,313",,,5,7
,212509,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,08-Aug-2007,448,,888,"7,894",,"7,515",,,5,7
,215155,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,06-Oct-2008,341,,"1,017","7,511",,0,,,5,5
,217635,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,06-Oct-2009,410,,"1,055","8,722",,"8,112",,,5,7
,300699,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,05-Oct-2010,472,,942,"7,787",,"7,520",,,5,7
,300859,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,19-Oct-2010,444,,946,"7,812",,"7,497",,,5,7
,304062,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,10-Oct-2011,331,,512,"5,130",,"4,973",,,5,7
,309209,,,,"12TH AVE NE, S/O NE 65TH ST",,,,1579,,00330/0640,,,N,STANDARD,03-Oct-2012,436,,"1,061","8,121",,"7,641",,,5,7
,212511,,,,"12TH AVE NE, S/O NE 70TH ST",,,,1584,,00330/0690,,,N,STANDARD,08-Aug-2007,374,,849,"6,809",,"6,392",,,5,7
,308315,,,,"12TH AVE NE, S/O NE 70TH ST",,,,1584,,00330/0690,,,N,STANDARD,03-Jul-2012,321,,737,"6,183",,"5,850",,,4,6
,208236,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,02-Nov-2005,427,,"1,206","8,786",,"8,288",,,5,7
,210681,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,02-Nov-2006,438,,"1,200","9,172",,"8,603",,,5,7
,213165,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,29-Nov-2007,443,,"1,215","9,103",,"8,320",,,5,7
,215358,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,04-Nov-2008,419,,"1,208","8,601",,"8,131",,,5,7
,217840,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,03-Nov-2009,431,,"1,182","8,732",,"8,161",,,5,7
,300974,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,02-Nov-2010,449,,"1,332","9,179",,"8,506",,,5,7
,304349,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,08-Nov-2011,424,,"1,096","8,387",,"7,834",,,4,6
,309471,,,,"12TH AVE NE, S/O NE 75TH ST",,,,1589,,00330/0730,,,N,STANDARD,05-Nov-2012,426,,"1,299","8,993",,"8,564",,,5,7
,304181,,,,"12TH AVE NW, N/O NW 96TH ST",,,,1639,,00335/0960,,,TOTAL,STANDARD,27-Oct-2011,61,,71,671,,630,,,5,7
,303829,,,,"12TH AVE S, N/O BOREN AVE S",,,,1651,,00340/0010,,,S,STANDARD,16-Aug-2011,322,,548,"5,475",,"5,160",,,5,7
,310980,,,,"12TH AVE S, N/O S FERDINAND ST",,,,1675,,00340/0480,,,TOTAL,STANDARD,22-Apr-2013,68,,87,530,,471,,,5,7
